Wavelength (nm),Absorbance (AU),Std.Dev.
190,0.0987939834594727,0.0000472502076098835
191,0.0923910140991211,0.0000383283356935665
192,0.0849189758300781,0.0000348751864993538
193,0.0785531997680664,0.0000388717347202051
194,0.0721817016601563,0.0000375348389694844
195,0.0662808418273926,0.0000320989689907792
196,0.0608658790588379,0.0000346478882894961
197,0.0557413101196289,0.0000319302922111191
198,0.0508975982666016,0.0000388622283935547
199,0.0462584495544434,0.0000388892787566272
200,0.0420184135437012,0.0000301639550456422
201,0.0383119583129883,0.000027886821501109
202,0.035275936126709,0.0000350085840053248
203,0.0328221321105957,0.0000472465983819357
204,0.0307974815368652,0.0000366273330797361
205,0.0291423797607422,0.0000266970261899381
206,0.0277018547058105,0.0000372940313278982
207,0.0263910293579102,0.0000310905506179617
208,0.025299072265625,0.0000358374134912259
209,0.0243167877197266,0.0000414025378348541
210,0.0233974456787109,0.0000497958192777884
211,0.0225625038146973,0.0000458222894002529
212,0.0218205451965332,0.0000324284327238451
213,0.0211772918701172,0.0000339099619600979
214,0.0206441879272461,0.0000296071336379009
215,0.0200724601745605,0.0000337595993483217
216,0.0193905830383301,0.0000293690660013883
217,0.0187664031982422,0.0000312737568085298
218,0.0180039405822754,0.0000265999709825012
219,0.0172667503356934,0.0000335086265423926
220,0.0164809226989746,0.0000285102169055257
221,0.0157155990600586,0.0000233948040919622
222,0.0148606300354004,0.0000439570414600049
223,0.0141000747680664,0.0000352198393860698
224,0.0134177207946777,0.0000332489219374853
225,0.0128130912780762,0.0000351099185617894
226,0.0124053955078125,0.0000371986470900307
227,0.0120601654052734,0.0000399960934789994
228,0.0118207931518555,0.0000412553711355299
229,0.0116238594055176,0.0000514995168638268
230,0.0114269256591797,0.0000478194213048693
231,0.0113215446472168,0.0000316109231145524
232,0.0112133026123047,0.0000288378088268443
233,0.0110235214233398,0.0000339376097119065
234,0.0108704566955566,0.000036400044645942
235,0.010805606842041,0.000045075616066347
236,0.0105776786804199,0.0000525862970814697
237,0.0103230476379395,0.0000435582326860956
238,0.0101523399353027,0.00003896739981098
239,0.00997591018676758,0.0000360556374142336
240,0.00985431671142578,0.0000367512785566932
241,0.00974512100219727,0.0000324836017755602
242,0.0095829963684082,0.0000401188410231873
243,0.00945281982421875,0.0000358770452613386
244,0.00931930541992188,0.0000333496376806491
245,0.00912761688232422,0.0000335543975862483
246,0.00899887084960938,0.0000375219642122383
247,0.00876760482788086,0.0000315217855091828
248,0.00847244262695313,0.0000332856587288882
249,0.00817108154296875,0.0000415190741752856
250,0.00787067413330078,0.0000368516773024453
251,0.00749111175537109,0.0000381730407813789
252,0.00713729858398438,0.0000311334864481076
253,0.00671100616455078,0.0000274807794881307
254,0.00640249252319336,0.0000302420599126609
255,0.00609731674194336,0.000036198818925199
256,0.00569772720336914,0.0000449948353274744
257,0.00547075271606445,0.0000343513104863776
258,0.00513601303100586,0.0000377342125801557
259,0.00490427017211914,0.000034662650568889
260,0.00471353530883789,0.0000373625571981325
261,0.00456857681274414,0.0000365620935033762
262,0.00438928604125977,0.0000398537176410018
263,0.00414514541625977,0.0000408740128166786
264,0.00408697128295898,0.0000295504416301979
265,0.00398778915405273,0.000047034372274167
266,0.00379276275634766,0.0000474949916735681
267,0.00370168685913086,0.0000382942100032254
268,0.00356912612915039,0.0000314242561160954
269,0.00361394882202148,0.0000348922963583767
270,0.00356149673461914,0.0000429716006415091
271,0.00361013412475586,0.0000390482761146035
272,0.00366067886352539,0.0000461424652229421
273,0.00380229949951172,0.0000601637368039796
274,0.00383329391479492,0.0000540605913518302
275,0.00388669967651367,0.0000346257330696718
276,0.0039973258972168,0.0000415457628851419
277,0.00401210784912109,0.000046632626260367
278,0.00406217575073242,0.0000446727965250134
279,0.00408506393432617,0.0000402242597750914
280,0.00410699844360352,0.0000445759862448203
281,0.00401020050048828,0.0000479879212395062
282,0.00391483306884766,0.0000363054430704876
283,0.00381803512573242,0.000036452321727021
284,0.00367498397827148,0.000031069517844573
285,0.00352907180786133,0.0000299212942075995
286,0.00331544876098633,0.0000351835065411595
287,0.00311565399169922,0.0000404209152335298
288,0.00296354293823242,0.000022404370338181
289,0.00275945663452148,0.0000228521440804631
290,0.00256681442260742,0.0000351131564387328
291,0.00234222412109375,0.0000421367320531308
292,0.00203752517700195,0.000033166758083876
293,0.00190353393554687,0.0000249890651664965
294,0.00168895721435547,0.0000197052631100978
295,0.00153160095214844,0.000020749608798878
296,0.00128078460693359,0.0000282508410939422
297,0.00104808807373047,0.0000410917723791552
298,0.00107765197753906,0.0000379302904202835
299,0.000818252563476563,0.0000340905221228602
300,0.000766277313232422,0.0000391761701706767
301,0.000668048858642578,0.0000306096401985175
302,0.000574111938476563,0.000039082470600114
303,0.000611782073974609,0.000046586282660303
304,0.000472068786621094,0.0000442097739658327
305,0.000364303588867187,0.0000467762426749971
306,0.000283718109130859,0.0000375810003195183
307,0.000310897827148437,0.0000311380506054699
308,0.000281810760498047,0.0000343405528156773
309,0.000232219696044922,0.0000460265198999945
310,0.000232696533203125,0.000063828532151318
311,0.000231266021728516,0.0000409885848481018
