Wavelength (nm),Absorbance (AU),Std.Dev.
190,0.2052001953125,0.0000633691287773702
191,0.185562133789062,0.0000592555312441979
192,0.169319629669189,0.0000439272887468483
193,0.155261993408203,0.0000501246357956615
194,0.14406156539917,0.000047737329859658
195,0.134832859039307,0.0000333998816636131
196,0.127466201782227,0.0000432806888246833
197,0.121341228485107,0.000037623328088725
198,0.116269111633301,0.0000365115304954978
199,0.111929416656494,0.0000254187080804941
200,0.108242511749268,0.0000322526675664632
201,0.10500431060791,0.0000319471999656591
202,0.102215766906738,0.0000352133829534975
203,0.0996603965759277,0.0000478895038328668
204,0.0973415374755859,0.0000386818990572212
205,0.0951309204101563,0.0000325762150458341
206,0.092860221862793,0.0000358191681520844
207,0.0905766487121582,0.0000416359669636489
208,0.0881938934326172,0.00004669231721587
209,0.0859079360961914,0.000050191499649575
210,0.0834951400756836,0.0000454436068904434
211,0.0810151100158691,0.0000377590602619661
212,0.0783762931823731,0.0000270234602170929
213,0.075737476348877,0.00004121953165369
214,0.0732026100158691,0.0000405893189009473
215,0.0705418586730957,0.0000252808025972574
216,0.0679931640625,0.0000237827761073948
217,0.0654425621032715,0.000029702974668181
218,0.063011646270752,0.0000275345074235227
219,0.0605745315551758,0.0000206593516480159
220,0.0582523345947266,0.0000328048716789567
221,0.0560412406921387,0.0000244521471713101
222,0.0539813041687012,0.0000224303611281007
223,0.0520386695861816,0.0000285958214084183
224,0.0501823425292969,0.0000227386837340667
225,0.048457145690918,0.0000243974560272368
226,0.046849250793457,0.0000223160299479889
227,0.0453433990478516,0.0000243420582162861
228,0.0439386367797852,0.0000272236018026127
229,0.0426959991455078,0.0000298027992210389
230,0.0414633750915527,0.0000246662427981373
231,0.0404162406921387,0.0000289543634547304
232,0.0394229888916016,0.0000327233299726648
233,0.0384020805358887,0.0000366746367001016
234,0.0375094413757324,0.0000371083794028124
235,0.0366711616516113,0.000035590711511492
236,0.035916805267334,0.0000258977894643283
237,0.0352764129638672,0.0000248887757239213
238,0.0345439910888672,0.0000324231736326317
239,0.0339055061340332,0.0000360043631678263
240,0.0333194732666016,0.0000350588825553133
241,0.0327739715576172,0.0000303803652388009
242,0.032315731048584,0.0000287929304235511
243,0.0318102836608887,0.0000249725679160539
244,0.0313138961791992,0.0000245432212569577
245,0.0308756828308105,0.000028701477769112
246,0.0304551124572754,0.0000285719575802831
247,0.030029296875,0.0000309623038401138
248,0.0296287536621094,0.0000280499230330829
249,0.0292706489562988,0.0000310923788823847
250,0.0289473533630371,0.0000277622030165781
251,0.0286159515380859,0.0000256186282647391
252,0.0282840728759766,0.0000300331711692805
253,0.0280065536499023,0.0000312873858959481
254,0.027806282043457,0.0000303738158305952
255,0.0274763107299805,0.000026310438135594
256,0.0272002220153809,0.0000284018477753425
257,0.0269861221313477,0.0000342958309866934
258,0.0268220901489258,0.0000475858638015446
259,0.026616096496582,0.0000413145758970408
260,0.0263237953186035,0.0000387178853012045
261,0.0261774063110352,0.0000282432947241238
262,0.0259552001953125,0.0000401436286937779
263,0.0257911682128906,0.0000414162650119943
264,0.0255112648010254,0.0000341121917721451
265,0.0253086090087891,0.0000484042564099975
266,0.0250215530395508,0.0000466192157454856
267,0.0247702598571777,0.0000348939254312052
268,0.0246419906616211,0.0000325220770361159
269,0.0243330001831055,0.0000486560860398258
270,0.0240612030029297,0.000048578919063986
271,0.0238475799560547,0.0000394444066711514
272,0.0235738754272461,0.0000417355110685342
273,0.0234150886535645,0.0000486467389864229
274,0.0231485366821289,0.0000384948189537554
275,0.0229582786560059,0.0000424123801483749
276,0.0226039886474609,0.0000461769458529538
277,0.0223884582519531,0.000039499130591351
278,0.0222115516662598,0.0000378019405155589
279,0.0219569206237793,0.0000390220643283172
280,0.0216922760009766,0.0000409032070543394
281,0.0214018821716309,0.0000537865128029506
282,0.0210976600646973,0.000040671162865715
283,0.020878791809082,0.0000384312705002108
284,0.0206494331359863,0.0000380858288933049
285,0.0203151702880859,0.0000260956731653445
286,0.0200400352478027,0.0000337570735980271
287,0.0197944641113281,0.0000441982005580604
288,0.019507884979248,0.0000349004409621052
289,0.019218921661377,0.0000304714427847102
290,0.0189309120178223,0.0000251178244666235
291,0.0186614990234375,0.0000301380322844218
292,0.0183920860290527,0.0000387963514781395
293,0.0181055068969727,0.0000357468887595965
294,0.0178608894348145,0.0000240318358771403
295,0.0175266265869141,0.00002779698891202
296,0.01739501953125,0.0000271472821020885
297,0.0171232223510742,0.0000318420486498629
298,0.0169029235839844,0.0000354121824163421
299,0.0166044235229492,0.0000378132167108905
300,0.0163683891296387,0.000028707913688623
301,0.0161786079406738,0.0000347224554724711
302,0.015932559967041,0.0000363508200022825
303,0.0157251358032227,0.0000420989424648783
304,0.0154905319213867,0.0000414450772847138
305,0.0152363777160645,0.0000395286212464575
306,0.0150613784790039,0.0000425655627564043
307,0.014899730682373,0.0000486642632388387
308,0.0146846771240234,0.000052823571869378
309,0.0144858360290527,0.0000659571113092088
310,0.014225959777832,0.0000513823844562423
311,0.0140337944030762,0.0000457527675990001
312,0.0138330459594727,0.0000378470251390185
313,0.0135273933410645,0.000045739099113922
314,0.0134067535400391,0.0000385206516811766
315,0.0132761001586914,0.0000486034854821901
316,0.0130462646484375,0.0000590287039441814
317,0.0127625465393066,0.000042524144210084
318,0.0126194953918457,0.0000393650662588606
319,0.0124096870422363,0.0000547345918742437
320,0.0122990608215332,0.0000492101953898594
321,0.0119824409484863,0.0000451247709183311
322,0.0117988586425781,0.0000521891680153504
323,0.0117125511169434,0.000049859703974839
324,0.0114665031433105,0.0000346987097006614
325,0.0113029479980469,0.0000355299682811683
326,0.011073112487793,0.0000483196294096802
327,0.010918140411377,0.0000619337864555957
328,0.0108132362365723,0.000053763257426165
329,0.0105128288269043,0.0000547013488758087
330,0.0103640556335449,0.0000324485846772821
331,0.0101809501647949,0.0000374081713735832
332,0.00997447967529297,0.0000382310715147765
333,0.0098271369934082,0.0000520943231384447
334,0.00973796844482422,0.0000501019498312519
335,0.00955581665039063,0.0000533578436320512
336,0.00936603546142578,0.0000453697463491651
337,0.00925588607788086,0.0000491986428870851
338,0.00908041000366211,0.0000561727530121451
339,0.00897026062011719,0.0000436260398190986
340,0.00880718231201172,0.0000470271204115093
341,0.00868082046508789,0.0000379542609040223
342,0.0085453987121582,0.000038808071102763
343,0.00834846496582031,0.0000459226615053611
344,0.00828218460083008,0.0000474123385024354
345,0.00816726684570313,0.0000482619511752319
346,0.00799465179443359,0.0000562566812787099
347,0.00789594650268555,0.0000414539913106216
348,0.00777292251586914,0.0000360824287650921
349,0.00766372680664063,0.0000369940826686217
350,0.00754833221435547,0.0000381812299448863
351,0.00736474990844727,0.0000522718801823822
352,0.00717782974243164,0.0000536839020213971
353,0.00713777542114258,0.0000526316776088783
354,0.00704145431518555,0.0000410350167163816
355,0.00683975219726563,0.0000570074726953416
356,0.00682783126831055,0.0000662735036687884
357,0.00679636001586914,0.0000582161345274581
358,0.00659990310668945,0.0000476276544988246
359,0.00660085678100586,0.0000541383446671671
360,0.00650119781494141,0.0000402369762282597
361,0.00629663467407227,0.0000505908270107017
362,0.00616264343261719,0.0000373846109987878
363,0.00603199005126953,0.0000616209410825733
364,0.00602293014526367,0.0000647463393107817
365,0.00595712661743164,0.0000543196850711307
366,0.00595808029174805,0.0000573395443556115
367,0.00565862655639648,0.0000588927673421029
368,0.00558757781982422,0.0000680942828974198
369,0.00558328628540039,0.0000615692611372718
370,0.00549173355102539,0.0000726531477323222
371,0.00539541244506836,0.0000860793432557663
372,0.00520420074462891,0.0000625584183122376
373,0.00516653060913086,0.0000759728948449804
374,0.00514745712280273,0.0000588667011186509
375,0.0050816535949707,0.0000614898109360039
376,0.00508785247802734,0.0000841816805637617
377,0.00506448745727539,0.0000783044437160346
378,0.00490856170654297,0.0000807489621647583
379,0.00475502014160156,0.0000908221459652301
380,0.00464057922363281,0.0000822747937804797
381,0.00465583801269531,0.0000505953211767415
382,0.00470399856567383,0.0000618345835779088
383,0.00465726852416992,0.0000494510250590618
384,0.00445032119750977,0.0000546639263378963
385,0.00442647933959961,0.0000640188292603376
386,0.00429153442382813,0.000070274862010729
387,0.00414752960205078,0.0000636215857256043
388,0.00413799285888672,0.0000789637150954776
389,0.00400447845458984,0.0000670528676360264
390,0.00396203994750977,0.0000523294836607487
391,0.00405120849609375,0.0000539258344588307
392,0.00385379791259766,0.0000477873153599792
393,0.00362777709960937,0.0000504805949601431
394,0.00365591049194336,0.0000606717901383189
395,0.00365591049194336,0.000050456942475123
396,0.00358104705810547,0.0000467750274393559
397,0.00350189208984375,0.0000549367316191612
398,0.00335359573364258,0.0000527525014928175
399,0.00318717956542969,0.0000548113890868625
400,0.00335931777954102,0.0000708612746744535
401,0.00319147109985352,0.0000583478023785945
402,0.00320243835449219,0.0000628412762051986
403,0.00312614440917969,0.0000677528385643245
404,0.00302267074584961,0.000079636088273236
405,0.00305700302124023,0.0000665969287069283
406,0.00282382965087891,0.0000748452085433323
407,0.00290489196777344,0.0000883243500086884
408,0.0029454231262207,0.0000800873523758785
409,0.00278663635253906,0.0000552791869614534
410,0.00260639190673828,0.0000531550465891558
411,0.00264644622802734,0.0000708339953412611
412,0.00271749496459961,0.0000652674942787675
413,0.00251150131225586,0.0000466277501557622
414,0.0025181770324707,0.0000511106266559831
415,0.00239038467407227,0.0000461387693413821
416,0.00235700607299805,0.0000531069022839579
417,0.00231027603149414,0.0000768477486481359
418,0.00229215621948242,0.0000755391935284151
419,0.00229310989379883,0.000068182711651212
420,0.00218343734741211,0.0000681977164661055
421,0.00225353240966797,0.0000608887630432711
422,0.0019831657409668,0.0000686777949805787
423,0.00191545486450195,0.0000591604850055987
424,0.00202560424804687,0.00004921366061188
425,0.00193452835083008,0.0000450175695615115
426,0.00185298919677734,0.0000418429700706313
427,0.00195217132568359,0.0000404995907538412
428,0.00179100036621094,0.0000515998618160964
429,0.00205183029174805,0.0000665115195242412
430,0.0017242431640625,0.0000586984411277592
431,0.00165653228759766,0.0000778107076802569
432,0.00171375274658203,0.0000590662481964189
433,0.00179243087768555,0.0000442072023592828
434,0.00169849395751953,0.0000570692607894027
435,0.00150871276855469,0.000051353613063039
436,0.00167751312255859,0.000061081704628702
437,0.0015864372253418,0.0000410917723791552
438,0.00158977508544922,0.0000574831100270225
439,0.00150966644287109,0.0000782942800589515
440,0.00156307220458984,0.0000397401648991273
441,0.00147819519042969,0.0000434981613427609
442,0.00125885009765625,0.0000442187734110081
443,0.00143337249755859,0.0000600114292893058
444,0.0013432502746582,0.0000514928938415899
445,0.00137472152709961,0.0000529085154320111
446,0.00135469436645508,0.0000378492779604854
447,0.00119543075561523,0.0000389528096502877
448,0.00130176544189453,0.0000411519031722859
449,0.00124454498291016,0.0000538572741384979
450,0.00111913681030273,0.0000651960389037231
451,0.001190185546875,0.0000622194840712816
452,0.00116586685180664,0.0000569575947633328
453,0.00111818313598633,0.0000513281480024434
454,0.00126504898071289,0.0000496655143741198
455,0.00111246109008789,0.0000528461651270128
456,0.00113821029663086,0.0000594384738114712
457,0.00118398666381836,0.0000670070740219084
458,0.00108766555786133,0.0000580175826044278
459,0.00101757049560547,0.0000533450582060773
460,0.00102615356445312,0.0000545004221006834
461,0.00105381011962891,0.0000745956832472377
462,0.000967979431152344,0.0000714142250548985
463,0.00108242034912109,0.0000596618377948903
464,0.000944614410400391,0.000043674223098909
465,0.000874519348144531,0.0000564523642995786
466,0.000829696655273438,0.0000706105513016234
467,0.000964164733886719,0.0000678484151106249
468,0.000824928283691406,0.0000712181478143891
469,0.000847339630126953,0.0000837959058966361
470,0.000856399536132813,0.0000584237418842186
471,0.000819683074951172,0.0000519938391944883
472,0.000882625579833984,0.000058726517938006
473,0.000734806060791016,0.0000630002768131781
474,0.00075531005859375,0.000049713561180328
475,0.000956058502197266,0.000049892754972566
476,0.000830173492431641,0.0000527233996355625
477,0.000838279724121094,0.0000638819436684196
478,0.000782012939453125,0.0000445236722356975
479,0.00090789794921875,0.00004590904360277
480,0.000725746154785156,0.0000605864722223991
481,0.000592231750488281,0.0000588435214487309
482,0.000662803649902344,0.0000605742741389871
483,0.000675201416015625,0.0000713951192735636
484,0.000583648681640625,0.0000556420133682523
485,0.00254726409912109,0.0000614028524272258
486,-0.000521183013916016,0.0000647621403076354
487,0.000719547271728516,0.0000591845009866664
488,0.000463008880615234,0.000056251628903577
489,0.000606060028076172,0.0000565187824205544
490,0.000562667846679688,0.0000549336274105632
491,0.000593662261962891,0.0000606952081265996
492,0.000617027282714844,0.0000556011346841403
493,0.000571250915527344,0.0000759983296106499
494,0.000522613525390625,0.0000719281628504114
495,0.000623226165771484,0.0000522196561611687
496,0.000492572784423828,0.0000489054566688356
497,0.000421047210693359,0.0000670070740219084
498,0.000630855560302734,0.0000646620021165877
499,0.000507831573486328,0.0000778019407704572
500,0.000400543212890625,0.000049972443180147
501,0.000369071960449219,0.0000516097754401213
502,0.000457763671875,0.0000554947091806134
503,0.000396728515625,0.0000757360925213759
504,0.000474452972412109,0.0000671799083348043
505,0.000380039215087891,0.0000511250827486633
506,0.000241756439208984,0.0000456009424109423
507,0.000309944152832031,0.0000491431530705987
508,0.000255584716796875,0.0000585413505406061
509,0.000221729278564453,0.0000646373830400751
510,0.000279903411865234,0.0000759773839517575
511,0.00029754638671875,0.0000745941591912314
512,0.000287055969238281,0.0000775252756395677
513,0.000266551971435547,0.0000803551966909229
514,0.000300884246826172,0.0000646725502804571
515,0.000288009643554687,0.0000682043842131361
516,0.000169277191162109,0.0000611282175614018
517,0.000125408172607422,0.0000599166334299015
518,0.000101566314697266,0.0000550669503654294
519,0.000119209289550781,0.0000577366907232587
520,0.0000677108764648438,0.0000624256151224924
521,0.000237464904785156,0.0000823618008130795
522,0.000180721282958984,0.000061419513587122
523,0.000125408172607422,0.0000652831691365236
524,0.000140190124511719,0.0000620200005439629
525,0.00000715255737304688,0.0000522968857109954
526,0.0000710487365722656,0.0000615378628529382
527,0.000177383422851562,0.0000540122017952832
528,0.0000929832458496094,0.0000552318650471277
