Wavelength	S1c / R1c	Wavelength	S1	Wavelength	R1
nm	CPS / MicroAmps	nm	CPS	nm	MicroAmps
365	1077.04833644519	365	11960	365	12.4335780069334
365.5	1056.80340085829	365.5	11780	365.5	12.4262244119928
366	1036.94033305705	366	11608	366	12.4242804911023
366.5	998.152092367547	366.5	11228	366.5	12.4292315408867
367	991.084304145102	367	11196	367	12.4266269754677
367.5	959.046217670681	367.5	10884	367.5	12.4280690408915
368	971.134571782511	368	11080	368	12.4382687234669
368.5	964.771881865939	368.5	11048	368.5	12.4278128885488
369	958.207578326534	369	11028	369	12.4336890115716
369.5	936.20668296708	369.5	10828	369.5	12.4381995096
370	937.442353467742	370	10884	370	12.4289387918645
370.5	909.487503419315	370.5	10616	370.5	12.4394940164306
371	906.407567381862	371	10624	371	12.4349123025822
371.5	893.908290894884	371.5	10528	371.5	12.4383237039354
372	891.575562596209	372	10552	372	12.4424916238402
372.5	843.984676676067	372.5	10028	372.5	12.4343540506314
373	822.646974984675	373	9820	373	12.4349787576601
373.5	778.857458139395	373.5	9344	373.5	12.4398828836166
374	766.524356015533	374	9232	374	12.4307220682244
374.5	734.695834626198	374.5	8896	374.5	12.4391125955338
375	732.585410388537	375	8908	375	12.4334126687993
375.5	707.220787927262	375.5	8632	375.5	12.4314670877526
376	653.111241227162	376	8008	376	12.4392369851817
376.5	665.671766700314	376.5	8188	376.5	12.4296427225257
377	638.080503523417	377	7884	377	12.4362486307018
377.5	601.391513040797	377.5	7460	377.5	12.4356999246493
378	577.398316955255	378	7188	378	12.430390915882
378.5	578.784384057663	378.5	7240	378.5	12.4402913797086
379	562.192480513534	379	7056	379	12.4317384256421
379.5	552.814339174335	379.5	6968	379.5	12.4345368875447
380	532.061629744504	380	6736	380	12.4387350564728
380.5	528.861775225242	380.5	6704	380.5	12.4284970682335
381	516.510433450817	381	6568	381	12.4414108621259
381.5	507.685405847781	381.5	6464	381.5	12.4310879617776
382	547.244307172707	382	6984	382	12.4339870096173
382.5	548.272779486501	382.5	7016	382.5	12.4412310281423
383	587.694959399343	383	7532	383	12.4339722146955
383.5	690.19136087708	383.5	8868	383.5	12.4390396463153
384	813.014308485651	384	10468	384	12.4386541970981
384.5	970.466113071901	384.5	12520	384.5	12.4367539041372
385	1143.22106041995	385	14784	385	12.4399337869367
385.5	1511.65703095464	385.5	19552	385.5	12.4344323709436
386	1860.63827251574	386	24084	386	12.4361588357802
386.5	2303.08919078315	386.5	29840	386.5	12.4405343484576
387	2905.76616809932	387	37640	387	12.4300003152977
387.5	3673.67192116743	387.5	47656	387.5	12.4402885720915
388	4441.21136401655	388	57608	388	12.4315555154866
388.5	5346.50020649652	388.5	69424	388.5	12.4369783426128
389	6565.39913488139	389	85328	389	12.4404420877158
389.5	7874.19146293273	389.5	102328	389.5	12.4315212625571
390	9154.09174912588	390	119096	390	12.4379237283511
390.5	10669.1440341548	390.5	138992	390.5	12.4393746072514
391	12312.2231526485	391	160536	391	12.4350055643006
391.5	13871.8274480612	391.5	181184	391.5	12.4413426248215
392	15657.5632437726	392	204660	392	12.435415354338
392.5	17458.7393772844	392.5	228556	392.5	12.4394452859621
393	19055.9844520306	393	249856	393	12.4436785378979
393.5	20573.0066408664	393.5	269856	393.5	12.433493552588
394	22043.6228119135	394	289660	394	12.4403395974819
394.5	23210.2484390575	394.5	305276	394.5	12.4367447488638
395	24405.9328055627	395	321344	395	12.4346951883253
395.5	25191.6370185624	395.5	332344	395.5	12.4415382058754
396	25708.0991230464	396	339336	396	12.430367844593
396.5	25737.8864783086	396.5	340416	396.5	12.4377435037425
397	25884.6745069381	397	342800	397	12.4360436014057
397.5	25615.8794682524	397.5	339640	397.5	12.4328994852077
398	25004.8984960303	398	332252	398	12.4417998269681
398.5	24043.0062871108	398.5	319740	398.5	12.4344290994592
399	23107.3394388551	399	307768	399	12.4356136453528
399.5	21627.0746632908	399.5	288596	399.5	12.4411746072441
400	20568.5987839277	400	274724	400	12.4346912576613
400.5	18724.3486264438	400.5	250612	400.5	12.4430487283301
401	17244.526459577	401	231024	401	12.437273020346
401.5	15413.3875381807	401.5	206780	401.5	12.4370274881204
402	13867.7343154046	402	186428	402	12.4450813943374
402.5	12137.8389041123	402.5	163248	402.5	12.4332222391126
403	10669.1816439524	403	143792	403	12.4412788064624
403.5	9207.97028577786	403.5	124264	403.5	12.4401656717013
404	7811.59055301883	404	105536	404	12.4362190164441
404.5	6682.87448834116	404.5	90476	404.5	12.4445406716834
405	5471.52087547527	405	74132	405	12.4361840066786
405.5	4583.92919547887	405.5	62208	405.5	12.4387833719023
406	3730.65781642887	406	50720	406	12.4435011453205
406.5	3071.14808582614	406.5	41788	406.5	12.4359194558984
407	2499.07620606991	407	34076	407	12.4443896218793
407.5	2018.0573695047	407.5	27548	407.5	12.4404926736531
408	1636.30243293778	408	22364	408	12.4377707742502
408.5	1347.66517641835	408.5	18460	408.5	12.4474691872964
409	1127.15927282717	409	15444	409	12.4331078592302
409.5	915.109644874625	409.5	12564	409.5	12.4403590310755
410	791.862429638594	410	10888	410	12.4408057595893
410.5	682.395859297188	410.5	9388	410.5	12.4350311258239
