"Sample.ID","Max.Em.370","FI","HIX","Freshness"
"sjer10xc3",40768501.7516565,0.681,0.66,1.03
"sjer10xc4",40645422.3649588,0.68,0.66,1.03
"sjer10xc5",-0.928521583421332,0.824,0.97,0.939
"sjer10xc6",-1.85704316684266,0.825,0.97,0.94
"sjer20xc1",81891954.2014611,0.778,0.85,0.97
"sjer20xc2",9100482.05510854,0.364,0.44,1.07
"sjer20xc3",45911754.231057,0.666,0.62,1.027
"sjer20xc4",45788674.8443593,0.665,0.62,1.027
"sjer20xc5",-0.928521583421332,0.858,1.17,0.927
"sjer20xc6",-1.85704316684266,0.859,1.17,0.927
