Wavelength	S1c / R1c	Wavelength	S1	Wavelength	R1
nm	CPS / MicroAmps	nm	CPS	nm	MicroAmps
365	1065.31850182402	365	9700	365	10.195121425182
365.5	1057.06528164288	365.5	9680	365.5	10.2084934041203
366	1016.61861553164	366	9356	366	10.2140921224567
366.5	985.809996200787	366.5	9124	366.5	10.2265855308267
367	1002.31532362805	367	9324	367	10.2329031822782
367.5	980.196081080249	367.5	9156	367.5	10.229336922465
368	962.444904234447	368	9028	368	10.226223091857
368.5	987.306785378275	368.5	9292	368.5	10.2139271810483
369	918.674958712616	369	8684	369	10.212234547969
369.5	951.6013494453	369.5	9044	369.5	10.2208381918827
370	891.640270017472	370	8516	370	10.224358412877
370.5	935.598567642667	370.5	8968	370.5	10.2151463522071
371	904.019503802487	371	8700	371	10.2098565389041
371.5	923.329079635847	371.5	8928	371.5	10.2119013814607
372	821.358793004846	372	7988	372	10.2243539634141
372.5	868.180342349502	372.5	8484	372.5	10.2266684715016
373	792.505018550463	373	7772	373	10.2159282919149
373.5	797.489367708281	373.5	7864	373.5	10.2249230430115
374	791.329435798436	374	7840	374	10.2255166770526
374.5	709.490725413906	374.5	7064	374.5	10.228363887784
375	723.834894357208	375	7236	375	10.2218016135265
375.5	693.337532345232	375.5	6952	375.5	10.2124754049059
376	674.06817645056	376	6792	376	10.2223486533287
376.5	647.899366617666	376.5	6560	376.5	10.23145110096
377	605.622986247178	377	6148	377	10.2176204000917
377.5	607.685100665162	377.5	6192	377.5	10.2150632650478
378	574.224089263989	378	5876	378	10.2176873922801
378.5	559.801324718861	378.5	5760	378.5	10.232867556057
379	568.121197856715	379	5868	379	10.2307491234116
379.5	535.87555864097	379.5	5556	379.5	10.2281964378306
380	544.742477565475	380	5672	380	10.2301278160302
380.5	507.768082673771	380.5	5288	380.5	10.2106369588364
381	513.269793844534	381	5360	381	10.2172652914444
381.5	519.569408237208	381.5	5444	381.5	10.23003254015
382	542.294184303897	382	5692	382	10.22627283551
382.5	592.277457424019	382.5	6228	382.5	10.2233648398657
383	621.387836978026	383	6548	383	10.2234498191149
383.5	700.513844708504	383.5	7396	383.5	10.2214113425252
384	766.219614694958	384	8108	384	10.2227642111956
384.5	962.91257838549	384.5	10212	384.5	10.2236749533952
385	1174.77117224272	385	12488	385	10.2257681235892
385.5	1518.61068221025	385.5	16140	385.5	10.2175112448168
386	1871.06358306275	386	19920	386	10.2286985496537
386.5	2222.01284394813	386.5	23656	386.5	10.2222316733467
387	2890.47182236339	387	30768	387	10.2143965597167
387.5	3565.647487824	387.5	37988	387.5	10.2169498251316
388	4442.0363981386	388	47408	388	10.2285398033137
388.5	5300.4735380497	388.5	56652	388.5	10.2370637780369
389	6537.34108945253	389	69876	389	10.2313342308412
389.5	7781.11669412557	389.5	83148	389.5	10.2222298178779
390	9178.85228855152	390	98100	390	10.2175459921318
390.5	10675.0752479854	390.5	114324	390.5	10.2259764182697
391	12243.4002453436	391	131420	391	10.2369230858963
391.5	13780.8595668393	391.5	147904	391.5	10.2231491599312
392	15568.5048257989	392	167220	392	10.2186332846267
392.5	17202.1323980069	392.5	184984	392.5	10.2181706076186
393	18814.2362390906	393	202712	393	10.2254694541516
393.5	20376.5910811593	393.5	219544	393.5	10.2128958638958
394	21843.5550778726	394	235712	394	10.2160980306866
394.5	23221.8896022477	394.5	250708	394.5	10.2085599568555
395	24167.1611688626	395	261328	395	10.2122318502151
395.5	25060.4611438332	395.5	271644	395.5	10.2224191306246
396	25680.7883700469	396	278848	396	10.2254679587903
396.5	25868.1813547713	396.5	281412	396.5	10.2301317955225
397	25840.9476970346	397	281360	397	10.2244051230827
397.5	25805.7215457609	397.5	281484	397.5	10.228231960292
398	24926.3459409284	398	272248	398	10.2269652854704
398.5	24304.9402877365	398.5	265856	398.5	10.2275016319131
399	23247.4913601182	399	254432	399	10.2185515280339
399.5	22112.8624231001	399.5	242192	399.5	10.2113623433676
400	20683.961981791	400	226972	400	10.2160183859102
400.5	19049.9923209522	400.5	209332	400.5	10.2158022115909
401	17520.0742406462	401	193120	401	10.2331809227604
401.5	15867.4052234626	401.5	175012	401.5	10.2251120566859
402	14147.9125210257	402	156200	402	10.2207032065294
402.5	12396.0957700422	402.5	136948	402.5	10.2128738546182
403	10995.8679669445	403	121720	403	10.218657301961
403.5	9502.53205997248	403.5	105448	403.5	10.2292489341825
404	7911.96006694419	404	87884	404	10.2247555198159
404.5	6726.5014373744	404.5	74844	404.5	10.227665950763
405	5706.87337770241	405	63548	405	10.2209939902247
405.5	4713.7886829558	405.5	52600	405.5	10.2278700401212
406	3869.68072538251	406	43200	406	10.2177994955531
406.5	3162.11693941869	406.5	35372	406.5	10.223715651638
407	2594.82286364338	407	29048	407	10.2167557272286
407.5	2028.17590273932	407.5	22740	407.5	10.2179989950675
408	1653.2423624832	408	18572	408	10.2230101279469
408.5	1389.84759960738	408.5	15632	408.5	10.2206551352397
409	1142.47035260013	409	12880	409	10.2300114708138
409.5	986.699807599295	409.5	11136	409.5	10.2263887473768
410	770.844859463837	410	8712	410	10.2258877586006
410.5	675.68810362656	410.5	7648	410.5	10.2308516014403
411	638.066066376528	411	7212	411	10.2061006123403
411.5	547.159577915327	411.5	6200	411.5	10.2213111655219
412	484.30536126966	412	5496	412	10.2262186790151
412.5	427.449601302234	412.5	4852	412.5	10.2183731344768
413	367.785237895639	413	4180	413	10.2208184286989
413.5	369.956258518723	413.5	4208	413.5	10.2184821432673
414	332.128560640217	414	3784	414	10.2249888572214
414.5	303.717387760118	414.5	3460	414.5	10.2136466878805
415	264.700223212265	415	3020	415	10.2184028036666
415.5	254.558694178935	415.5	2904	415.5	10.2155631002596
416	217.337945940564	416	2480	416	10.2162848287848
416.5	218.926206496022	416.5	2500	416.5	10.2221523642636
417	191.389217754424	417	2188	417	10.2318261620002
417.5	180.206816053603	417.5	2060	417.5	10.2292196800318
418	173.975233096399	418	1988	418	10.2234772300039
418.5	173.064843553476	418.5	1976	418.5	10.2134139913442
419	134.52303131489	419	1536	419	10.2119945821455
419.5	143.205269717209	419.5	1636	419.5	10.2155898153478
420	140.547784169148	420	1608	420	10.2287912620573
420.5	103.697819942133	420.5	1188	420.5	10.2336827110972
421	109.944894696162	421	1260	421	10.2282925620995
421.5	117.939180032156	421.5	1352	421.5	10.2222960471268
422	114.975146154965	422	1324	422	10.2597258266793
422.5	114.143895386563	422.5	1316	422.5	10.2630509304835
423	95.4520029011131	423	1100	423	10.2494872095992
423.5	102.021747722833	423.5	1176	423.5	10.2430653711346
424	93.7733046873019	424	1080	424	10.2254038169437
424.5	101.691582489713	424.5	1172	424.5	10.2234801963126
425	97.697111628761	425	1128	425	10.2330104454632
425.5	98.1995697938357	425.5	1136	425.5	10.2493013026143
426	98.5406813943299	426	1140	426	10.2462329309913
426.5	99.039851454075	426.5	1144	426.5	10.2268137412789
427	103.192339868209	427	1192	427	10.2235661887453
427.5	97.6021342700518	427.5	1128	427.5	10.225220125535
428	87.0655820011167	428	1008	428	10.2396736779741
428.5	99.4169305671857	428.5	1152	428.5	10.2450334131531
429	90.4339887851986	429	1048	429	10.2423580224923
429.5	92.210297416723	429.5	1068	429.5	10.2331947716376
430	82.517325498158	430	956	430	10.2324860313937
430.5	81.8834787900552	430.5	948	430.5	10.2284585655196
431	79.8035335254143	431	924	431	10.2324039269004
431.5	77.3924768378356	431.5	896	431.5	10.2345025536375
432	71.8587535798188	432	832	432	10.2383679101344
432.5	81.6393468451512	432.5	944	432.5	10.2279625633158
433	79.5715426322111	433	920	433	10.2300142723275
433.5	75.8075026186199	433.5	876	433.5	10.2274555564731
434	76.1593774878805	434	880	434	10.22973601915
434.5	77.9856068630266	434.5	900	434.5	10.2202756857717
435	81.4055795943314	435	940	435	10.229104537208
435.5	77.858575782029	435.5	900	435.5	10.2426795495962
436	77.5492203709098	436	896	436	10.2405119958564
436.5	72.4562639233093	436.5	836	436.5	10.2290422813478
437	80.4503969773668	437	928	437	10.2291117698741
437.5	66.9236250612628	437.5	772	437.5	10.2322103294858
438	71.804669192725	438	828	438	10.2311090538363
438.5	73.9735559158613	438.5	852	438.5	10.2216634848625
439	74.9987219823089	439	864	439	10.2266112571454
439.5	73.1914875092633	439.5	844	439.5	10.2392252953997
440	76.3760574554894	440	880	440	10.2334952049912
440.5	73.6588788527526	440.5	848	440.5	10.2300421409802
