Wavelength	240	250	260	270	280	290	300	310	320	330	340	350	360	370	380	390	400	410	420	430	440	450	460	470	480	490	500
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
300	2585715.65384451	1283516.68927991	964066.958745118	1003604.16125979	1157822.34596792	2452878.35941524	0	2630572.08633739	947256.800502167	721610.136614395	527846.623853041	461163.870104116	433912.786295448	408012.730403298	377414.098610913	367158.366343787	336022.452929335	334808.810029557	320682.141387495	306795.559543426	299719.701571441	282712.826597795	270538.019844837	279977.233489915	232073.472724867	214261.422213295	201457.897084787
302	2533210.42962482	1261373.79533822	926194.322112404	917745.670229865	1048988.50117041	1917865.97641025	0	4396778.64041545	1041244.64749115	689918.204928537	529637.549544883	448549.204650268	417470.285704324	390560.124188552	360984.318146614	351161.130063881	322182.020516445	317084.028058781	303597.439566097	292188.275681047	283681.447646117	267478.888578996	257220.187083083	242219.50144738	221372.898739255	203581.571378612	190285.29975626
304	2534088.27396567	1234273.49309865	906172.825419288	874221.827639022	962494.631730918	1515895.20563733	0	5008041.2567816	1165050.70027192	677017.141968696	544641.057531168	437710.234208728	403057.210483521	375392.919673506	345441.107123449	331375.890461199	308861.513804308	299401.188150469	288262.166536688	274471.07408011	264808.635323004	254210.14390239	240585.645595641	208032.694856935	224298.363986493	191423.991523178	180630.69527278
306	2503597.33704581	1216297.27689409	876256.954370734	828004.748888724	924508.961802517	1266363.35863764	7714688.98093297	0	1352957.66971343	699510.839074029	588197.145504328	431697.796496666	392203.284890601	367280.501611534	330089.615734807	315334.836443274	303654.150439132	285955.778377153	274477.047331616	260254.234828589	250242.962718289	243098.225158414	228825.906777391	196209.617714224	244243.472280409	182633.381150317	168796.696147817
308	2485936.21773364	1194069.65645398	855511.165816664	789038.124261112	888478.347124718	1092049.01054207	3883282.64558921	0	1654877.23409951	735849.94172825	604680.953016481	427708.890668285	381882.259793036	360898.125487526	319296.280794718	304097.533614489	292395.824400208	274874.943847454	262209.387130289	251023.530708564	238112.860208416	229505.640705095	215989.376788717	185924.262031426	218590.217720418	175431.795357446	162099.795645071
310	2484931.10258823	1174881.71605701	817637.718864574	750846.980276047	823115.505890435	967349.722322334	2352842.96262727	0	2180167.48177557	787998.221765686	577482.921261883	428336.570963149	374331.301621251	347192.503741118	307119.835264058	291640.58743084	279043.612638654	262389.547831513	250451.397467324	237639.854882032	226573.469976016	216618.366675746	205331.779164242	175643.799970503	180913.481680949	172652.55956316	153851.046964264
312	2456069.34521667	1156647.28628366	794309.186975795	725292.618603875	750704.828116067	870015.262809011	1664183.81704979	0	3345924.22772134	865428.727622368	552660.127965487	438537.372737295	365915.611558084	334871.216567511	297790.197048793	279365.272656888	263577.735590381	254860.451022833	238033.57440416	226967.440553664	214991.20071595	204434.629016485	198365.349017696	166826.886589837	169119.981584527	190737.125121747	145975.717522094
314	2406592.32804743	1106167.46450175	754602.541273478	684514.965821537	691206.665489929	794633.599207551	1282680.64787977	0	2566368.8447068	967360.514961337	560828.890836129	468381.215865395	359541.682836547	327633.902548662	288493.340286648	267321.697040962	253502.595070128	248188.184725297	226563.029435794	215124.024155742	205600.191555662	194205.827563223	186796.940665866	157432.00696385	158661.602006383	182903.953218982	138413.817077551
316	2369331.60607295	1084434.42356289	735513.635609115	666610.828150465	659128.385107227	756050.932029679	1060119.66613828	4045313.10057944	0	1127862.74104757	582531.988837838	502096.77035409	354704.432490574	321782.106776368	284830.778103891	259537.693553448	245137.511053188	241691.154631194	217950.233232859	205928.41522502	195212.389511467	183927.067225621	176737.010713404	150573.335123625	150464.86336206	149172.254755135	137193.339222365
318	2349107.18446069	1076326.16654548	717580.578000906	645621.026895327	629667.504578693	728564.921386205	917471.467195647	3185721.68685383	0	1377885.63060695	619809.550249488	494567.630076957	357699.392830657	317117.436013126	278603.843424217	251881.371996818	237074.060354067	232024.846630679	211268.794233809	200118.268093923	188551.151606544	178651.822627959	169823.295823109	146154.503190975	146406.59453146	136672.339417866	151536.972440733
320	2372139.89207058	1066501.10056304	707073.185273772	627425.888222093	600763.324670636	684310.002932024	813251.092851337	2022069.82554337	0	1790877.77217974	674119.629596832	466644.005863939	362301.122137944	314343.72857593	272417.386669972	246797.685641679	229476.822460892	222911.592731778	208998.576500962	191734.555902196	180841.837698255	172214.724772061	163168.04647337	140843.453322869	140312.938628604	132029.330579543	158115.58265126
