Wavelength (nm),Absorbance (AU),Std.Dev.
190,0.257408618927002,0.0000662306043053423
191,0.250671863555908,0.0000766715006042618
192,0.245468616485596,0.0000670189494449563
193,0.240822792053223,0.0000645282427964059
194,0.237122058868408,0.0000423043520150549
195,0.233884334564209,0.0000449328894140826
196,0.231083869934082,0.0000521292286731713
197,0.22846794128418,0.0000618492903407706
198,0.225886821746826,0.0000596951750846252
199,0.223323345184326,0.0000552256896340625
200,0.220631122589111,0.0000554311659908225
201,0.217799186706543,0.0000511439807044675
202,0.214815616607666,0.0000520495662124682
203,0.211496353149414,0.0000491951766072423
204,0.207943439483643,0.0000565067122052709
205,0.203890800476074,0.0000585859993313531
206,0.19920015335083,0.0000779391757278802
207,0.193970680236816,0.0000577908144236428
208,0.188270092010498,0.0000636698143508946
209,0.182103633880615,0.0000607317221573898
210,0.175500392913818,0.0000565760807767037
211,0.168204307556152,0.0000625093322032154
212,0.160520553588867,0.0000593571292081297
213,0.152640342712402,0.0000589689690039691
214,0.144526481628418,0.0000654970162265997
215,0.136215686798096,0.0000525981862420704
216,0.127857685089111,0.0000438534667603242
217,0.119513034820557,0.0000513259330522621
218,0.111318588256836,0.0000564785383379661
219,0.103340148925781,0.0000534834041915208
220,0.0957484245300293,0.0000438884505481492
221,0.0884151458740234,0.0000422014354771017
222,0.0815224647521973,0.0000437665343472785
223,0.0750937461853027,0.0000572750705146422
224,0.069180965423584,0.0000511628716799615
225,0.0636916160583496,0.0000414059700557882
226,0.0587267875671387,0.0000469581718601615
227,0.0542874336242676,0.0000461190529709112
228,0.0502257347106934,0.0000340629984849663
229,0.046750545501709,0.0000443753277866892
230,0.0435028076171875,0.0000468163277546951
231,0.0407066345214844,0.0000438392061023454
232,0.0382332801818848,0.0000558541002426757
233,0.0360312461853027,0.0000560258296635919
234,0.0341405868530273,0.0000502469630139141
235,0.0324692726135254,0.0000454423560169962
236,0.0310530662536621,0.0000467665199056809
237,0.0297317504882812,0.0000382563394146542
238,0.0286068916320801,0.0000449328894140826
239,0.0276942253112793,0.0000428291621052557
240,0.0268783569335937,0.000043680730276426
241,0.0261292457580566,0.0000386142424519484
242,0.0254864692687988,0.0000316091248426214
243,0.0249271392822266,0.0000353390706212253
244,0.0243492126464844,0.0000487820959696164
245,0.0238990783691406,0.0000365558741380744
246,0.023503303527832,0.0000338134370770895
247,0.023162841796875,0.0000440203606182974
248,0.0228185653686523,0.0000450049408492924
249,0.0225396156311035,0.0000483913368630155
250,0.0222291946411133,0.00003645388108457
251,0.021914005279541,0.0000401358399326143
252,0.0216922760009766,0.0000478930646113957
253,0.0214285850524902,0.000046695969285374
254,0.0211925506591797,0.0000541845234745193
255,0.0209994316101074,0.0000615212337443589
256,0.0208473205566406,0.0000429801980700245
257,0.0206561088562012,0.0000387142147680012
258,0.0204029083251953,0.0000401315908802937
259,0.0202760696411133,0.0000451675802198258
260,0.0200686454772949,0.0000556624414522684
261,0.0199484825134277,0.0000550607564561398
262,0.0198073387145996,0.0000455685208338532
263,0.0196132659912109,0.0000396578329342494
264,0.0195002555847168,0.0000516527124907384
265,0.019287109375,0.000058432497784138
266,0.0191888809204102,0.000050906693723559
267,0.0189967155456543,0.000057900873547579
268,0.0188426971435547,0.0000528698238985281
269,0.0185461044311523,0.0000669833168596577
270,0.0183706283569336,0.0000560694401926384
271,0.0182366371154785,0.0000493244191779547
272,0.0180268287658691,0.0000598539859180954
273,0.0178918838500977,0.0000511139630402541
274,0.0177502632141113,0.0000389776096739245
275,0.0175175666809082,0.0000451184720069647
276,0.0172548294067383,0.0000445211187603858
277,0.0172276496887207,0.0000367775631573508
278,0.0170111656188965,0.0000461954070322197
279,0.0167379379272461,0.0000394566541379247
280,0.0166158676147461,0.0000293559985631434
281,0.0163636207580566,0.0000396678650913417
282,0.0161747932434082,0.0000467069237805284
283,0.0159430503845215,0.0000405388712556827
284,0.0156292915344238,0.0000422801588967531
285,0.0155458450317383,0.0000509647248734432
286,0.0152502059936523,0.0000625511487266792
287,0.0150260925292969,0.0000551412230084229
288,0.0148453712463379,0.0000343248240014129
289,0.0145220756530762,0.0000334058377993336
290,0.0142898559570312,0.0000474925979537534
291,0.0141201019287109,0.0000451751305912969
292,0.0138311386108398,0.0000350434761556113
293,0.0136213302612305,0.0000276791546006371
294,0.0134778022766113,0.0000387200874541085
295,0.01324462890625,0.000042608942195217
296,0.0130095481872559,0.0000398843713353954
297,0.0128688812255859,0.0000535927632073483
298,0.0126557350158691,0.0000417007658177861
299,0.0124621391296387,0.0000328663275802444
300,0.0122385025024414,0.0000412464141845703
301,0.0121426582336426,0.0000499223682985219
302,0.0119051933288574,0.0000499451358321078
303,0.0117435455322266,0.0000546857592638807
304,0.011634349822998,0.0000397136941081031
305,0.011472225189209,0.0000347388224097328
306,0.0113463401794434,0.0000505705983210378
307,0.0111479759216309,0.0000434863985478375
308,0.0109477043151855,0.0000523294836607487
309,0.0108389854431152,0.0000421090680013705
310,0.0107712745666504,0.0000417089437748808
311,0.0105504989624023,0.0000369840937167267
312,0.0104227066040039,0.0000335255860669841
313,0.0102462768554687,0.0000451625459375743
314,0.0101518630981445,0.0000469073028137854
315,0.0100631713867187,0.0000439622137894291
316,0.00987863540649414,0.0000506424858410597
317,0.00973272323608398,0.0000506155399858247
318,0.00954055786132813,0.0000526413969178667
319,0.00953865051269531,0.0000510995038017991
320,0.00925159454345703,0.0000364562199958327
321,0.00916624069213867,0.0000512816139583811
322,0.00907087326049805,0.0000639495342166147
323,0.00901508331298828,0.0000480435621729069
324,0.00890779495239258,0.0000547833809563899
325,0.00869178771972656,0.0000600436257884872
326,0.00854206085205078,0.0000583049210749124
327,0.00853204727172852,0.0000620328306882836
