Wavelength	S1c / R1c	Wavelength	S1	Wavelength	R1
nm	CPS / MicroAmps	nm	CPS	nm	MicroAmps
365	1105.03995297352	365	12236	365	12.3982853068826
365.5	1039.53370339469	365.5	11568	365.5	12.4053153788753
366	983.771843060524	366	10988	366	12.3962942851623
366.5	1008.50457665785	366.5	11316	366.5	12.398057932616
367	982.568634389834	367	11080	367	12.404459177707
367.5	941.176762398705	367.5	10652	367.5	12.3940893535307
368	996.736780627119	368	11340	368	12.4031546855248
368.5	940.567736465934	368.5	10748	368.5	12.4014726054536
369	962.847308603865	369	11048	369	12.3962146953189
369.5	967.491483498946	369.5	11160	369.5	12.405036667939
370	926.696903493908	370	10732	370	12.3974692363293
370.5	920.434168164288	370.5	10716	370.5	12.4073351786717
371	907.563227995516	371	10620	371	12.4144022440725
371.5	874.112426318195	371.5	10260	371.5	12.3962124492251
372	852.677946358993	372	10052	372	12.3936201152514
372.5	855.485849571386	372.5	10136	372.5	12.3993019755796
373	831.528875630851	373	9892	373	12.3923547588112
373.5	794.450987744616	373.5	9500	373.5	12.399322068353
374	791.570091315098	374	9508	374	12.3972773173848
374.5	707.099954460699	374.5	8532	374.5	12.3957337627036
375	701.381112677101	375	8508	375	12.4034305644299
375.5	712.496496293687	375.5	8672	375.5	12.3965976787157
376	671.154587558955	376	8204	376	12.4010918681504
376.5	628.684085672996	376.5	7720	376.5	12.4086856425334
377	631.952493432698	377	7784	377	12.3975723369149
377.5	593.401680616817	377.5	7344	377.5	12.4071661357037
378	608.094025203689	378	7552	378	12.4006222148321
378.5	542.72041974921	378.5	6768	378.5	12.4020357646309
379	569.749123091886	379	7136	379	12.4059349589509
379.5	538.462418665741	379.5	6768	379.5	12.399544309563
380	525.368571244036	380	6632	380	12.4027076884563
380.5	510.491039535745	380.5	6460	380.5	12.4071256816023
381	505.666660319929	381	6408	381	12.3986319804652
381.5	499.374680779406	381.5	6344	381.5	12.4033536357193
382	513.814957961321	382	6540	382	12.4010493632678
382.5	557.652621427057	382.5	7112	382.5	12.3993368632748
383	592.477706594186	383	7576	383	12.4056492900068
383.5	677.498660087982	383.5	8676	383.5	12.3977190166018
384	791.294716995418	384	10156	384	12.399160886713
384.5	983.342145868003	384.5	12656	384.5	12.4072319071878
385	1176.04771923715	385	15152	385	12.3937105449385
385.5	1439.31636455233	385.5	18568	385.5	12.4021479716617
386	1822.40027674235	386	23524	386	12.4018647197098
386.5	2317.95456301249	386.5	29928	386.5	12.3972040507836
387	2849.08925270264	387	36832	387	12.4051332987979
387.5	3577.137789243	387.5	46252	387.5	12.3996116679612
388	4287.90534765898	388	55480	388	12.4003910380752
388.5	5371.14008803047	388.5	69580	388.5	12.4077426737873
389	6560.22084842599	389	84964	389	12.3971504375025
389.5	7741.76197929588	389.5	100400	389.5	12.4059395243806
390	8993.42021408824	390	116708	390	12.4062839091448
390.5	10581.8747196087	390.5	137416	390.5	12.3997522441325
391	12069.5684275724	391	157032	391	12.4081331523013
391.5	13758.2373269723	391.5	179096	391.5	12.3995000468679
392	15442.8065083564	392	201324	392	12.4028308574011
392.5	17141.7153219527	392.5	223920	392.5	12.4125175761115
393	18716.139800181	393	244516	393	12.3988496074174
393.5	20327.887465948	393.5	266072	393.5	12.4069715800404
394	21845.1066277186	394	286292	394	12.4074268778901
394.5	23178.0841159964	394.5	303980	394.5	12.4011318095565
395	24021.4887777368	395	315652	395	12.4099200907705
395.5	24933.5888150527	395.5	327888	395.5	12.4017609111165
396	25604.1762923126	396	337304	396	12.4060832987941
396.5	25768.1988999616	396.5	340060	396.5	12.4101205302228
397	25897.7011197362	397	342000	397	12.4007805644408
397.5	25443.1807168543	397.5	336584	397.5	12.4046617411827
398	24837.1361999477	398	329196	398	12.410627268502
398.5	24332.8651042491	398.5	322748	398.5	12.4018924540847
399	22894.8342913753	399	304316	399	12.4102629862769
399.5	21846.8401979545	399.5	290672	399.5	12.4046188456751
400	20212.1284741098	400	269292	400	12.4037931132566
400.5	18767.0523382294	400.5	250524	400.5	12.4103757304171
401	17220.3080176962	401	229996	401	12.3993440165951
401.5	15584.2445506092	401.5	208524	401.5	12.4044197489962
402	13807.1975338784	402	185108	402	12.411142551703
402.5	12187.7963856495	402.5	163520	402.5	12.4028897929478
403	10736.945755337	403	144344	403	12.4102172587381
403.5	9283.27660538355	403.5	124932	403.5	12.4055820536789
404	7924.21191411295	404	106772	404	12.4030501689237
404.5	6653.92388806557	404.5	89824	404.5	12.4086160380415
405	5532.52628507773	405	74720	405	12.3966077617235
405.5	4609.94205297471	405.5	62380	405.5	12.4027922831825
406	3773.98984112483	406	51168	406	12.4092769999529
406.5	3045.69654576925	406.5	41316	406.5	12.3982020732404
407	2522.12115409908	407	34288	407	12.4073975810152
407.5	2018.31233225732	407.5	27476	407.5	12.4064105204724
408	1639.69298781788	408	22348	408	12.4031719462669
408.5	1349.77098238397	408.5	18432	408.5	12.4091988505391
409	1136.64716936205	409	15536	409	12.4027712626748
409.5	942.955524969017	409.5	12908	409.5	12.4035461406013
410	795.621119999193	410	10912	410	12.4093258769058
410.5	688.328017784612	410.5	9444	410.5	12.4013998271336
411	585.354111906498	411	8044	411	12.4086108378462
411.5	541.267107983422	411.5	7444	411.5	12.4057679667641
412	462.68691071822	412	6368	412	12.4023353251766
412.5	440.461650082822	412.5	6072	412.5	12.4099360331533
413	387.525382262242	413	5344	413	12.4013790263524
413.5	352.778731405015	413.5	4872	413.5	12.4069754618763
414	336.914555714539	414	4660	414	12.4132093973977
414.5	303.007090509367	414.5	4192	414.5	12.4034605693126
415	282.937287434756	415	3920	415	12.4086994120646
415.5	255.763671719737	415.5	3544	415.5	12.4081915263245
416	226.665651614372	416	3140	416	12.4028303935339
416.5	218.965637775763	416.5	3036	416.5	12.4115463602951
417	183.859003540461	417	2548	417	12.4033164531023
417.5	194.454663465275	417.5	2696	417.5	12.4064641093394
418	151.352987323758	418	2100	418	12.4136066141929
418.5	153.465111603354	418.5	2128	418.5	12.4038016825925
419	145.868740315233	419	2024	419	12.409785666943
419.5	136.331855186015	419.5	1892	419.5	12.4097471903806
420	139.841940109266	420	1940	420	12.4029948710723
420.5	135.876740946147	420.5	1888	420.5	12.4120067118557
421	127.493842804327	421	1772	421	12.4045830302455
421.5	121.877347080681	421.5	1696	421.5	12.4088839335482
422	111.067068884712	422	1548	422	12.4175919901532
422.5	112.52373374781	422.5	1568	422.5	12.4043841777073
423	114.671122998169	423	1600	423	12.4096752177247
423.5	107.971013512356	423.5	1508	423.5	12.411079148383
424	108.512798958303	424	1516	424	12.4037832743894
424.5	101.467604892245	424.5	1420	424.5	12.4141528788391
425	110.868321714166	425	1552	425	12.4068144023067
425.5	92.5549941634204	425.5	1296	425.5	12.4059680400055
426	106.737478196503	426	1496	426	12.4133668436861
426.5	108.21924438948	426.5	1516	426.5	12.4027790263467
427	93.2940207478411	427	1308	427	12.4087361796426
427.5	93.238389912248	427.5	1308	427.5	12.4118311747471
428	95.8301017756358	428	1344	428	12.4042186015361
428.5	97.441694110957	428.5	1368	428.5	12.4125931864627
429	93.4243895451941	429	1312	429	12.4120616190821
429.5	84.5533505211615	429.5	1188	429.5	12.413808152278
430	79.3673936099034	430	1116	430	12.4191103983501
